Timing,Speed,Latency
7,2133, 6.560 
7,2200, 6.360 
7,2400, 5.830 
7,2666, 5.250 
7,2800, 5.010 
7,2933, 4.770 
7,3000, 4.670 
7,3100, 4.520 
7,3200, 4.380 
7,3300, 4.240 
7,3333, 4.200 
7,3400, 4.120 
7,3466, 4.040 
7,3600, 3.890 
7,3733, 3.750 
7,3866, 3.620 
7,4000, 3.500 
7,4133, 3.390 
7,4200, 3.330 
7,4266, 3.280 
7,4333, 3.230 
7,4400, 3.180 
7,4500, 3.110 
7,4600, 3.040 
7,4800, 2.920 
8,2133, 7.500 
8,2200, 7.270 
8,2400, 6.670 
8,2666, 6.010 
8,2800, 5.710 
8,2933, 5.460 
8,3000, 5.330 
8,3100, 5.160 
8,3200, 5.010 
8,3300, 4.850 
8,3333, 4.800 
8,3400, 4.710 
8,3466, 4.620 
8,3600, 4.440 
8,3733, 4.290 
8,3866, 4.140 
8,4000, 4.010 
8,4133, 3.870 
8,4200, 3.810 
8,4266, 3.750 
8,4333, 3.690 
8,4400, 3.630 
8,4500, 3.550 
8,4600, 3.470 
8,4800, 3.330 
9,2133, 8.440 
9,2200, 8.180 
9,2400, 7.500 
9,2666, 6.750 
9,2800, 6.430 
9,2933, 6.140 
9,3000, 6.010 
9,3100, 5.810 
9,3200, 5.630 
9,3300, 5.450 
9,3333, 5.410 
9,3400, 5.290 
9,3466, 5.190 
9,3600, 5.010 
9,3733, 4.820 
9,3866, 4.660 
9,4000, 4.500 
9,4133, 4.360 
9,4200, 4.290 
9,4266, 4.220 
9,4333, 4.150 
9,4400, 4.090 
9,4500, 4.010 
9,4600, 3.910 
9,4800, 3.750 
10,2133, 9.380 
10,2200, 9.090 
10,2400, 8.330 
10,2666, 7.510 
10,2800, 7.140 
10,2933, 6.820 
10,3000, 6.670 
10,3100, 6.450 
10,3200, 6.250 
10,3300, 6.060 
10,3333, 6.010 
10,3400, 5.880 
10,3466, 5.770 
10,3600, 5.560 
10,3733, 5.360 
10,3866, 5.170 
10,4000, 5.010 
10,4133, 4.840 
10,4200, 4.760 
10,4266, 4.690 
10,4333, 4.610 
10,4400, 4.540 
10,4500, 4.440 
10,4600, 4.340 
10,4800, 4.170 
11,2133, 10.310 
11,2200, 10.010 
11,2400, 9.170 
11,2666, 8.250 
11,2800, 7.860 
11,2933, 7.500 
11,3000, 7.330 
11,3100, 7.100 
11,3200, 6.880 
11,3300, 6.670 
11,3333, 6.600 
11,3400, 6.470 
11,3466, 6.350 
11,3600, 6.110 
11,3733, 5.890 
11,3866, 5.690 
11,4000, 5.500 
11,4133, 5.320 
11,4200, 5.240 
11,4266, 5.160 
11,4333, 5.070 
11,4400, 5.010 
11,4500, 4.880 
11,4600, 4.780 
