productName,Source,Model,Company,TotalCost,RGB,GB,PricePerGB,Speed,Timing,Latency,uniform_speedScore,uniform_priceScore
Crucial Ballistix MAX RGB 4400 MHz DDR4 DRAM Desktop Gaming Memory Kit 16GB (8GBx2) CL19 BLM2K8G44C19U4BL (Black),Amazon,(Black),Crucial,237.4905,True,16.0,14.84315625,4400.0,19.0,8.63,9.094781682641106,2.315441624375473
Crucial Ballistix MAX RGB 4400 MHz DDR4 DRAM Desktop Gaming Memory Kit 32GB (16GBx2) CL19 BLM2K16G44C19U4BL (Black),Amazon,(Black),Crucial,474.9905,True,32.0,14.843453125,4400.0,19.0,8.63,9.094781682641106,2.315254647602909
Crucial Ballistix MAX RGB 32GB (2 x 16GB) 288-Pin DDR4 SDRAM DDR4 4400 (PC4 35200) Intel XMP 2.0 Desktop Memory Model BLM2K16G44C19U4BL,Newegg,BLM2K16G44C19U4BL,Crucial,499.99,True,32.0,15.6246875,4400.0,19.0,8.63,9.094781682641106,1.82322035015829
Crucial Ballistix MAX 32GB (2 x 16GB) 288-Pin DDR4 SDRAM DDR4 4400 (PC4 35200) Desktop Memory Model BLM2K16G44C19U4B,Newegg,BLM2K16G44C19U4B,Crucial,399.99,False,32.0,12.4996875,4400.0,19.0,8.63,9.094781682641106,3.7913969034678283
Corsair Vengeance LPX 16GB (2x8GB) DDR4 DRAM 3200MHz C16 Desktop Memory Kit - Black,Amazon,Black,Corsair,67.44049999999999,False,16.0,4.215031249999999,3200.0,16.0,10.01,7.625133120340789,9.009210082181212
Corsair Vengeance RGB Pro 32GB (2x16GB) DDR4 3200 (PC4-25600) C16 Desktop Memory - Black,Amazon,Black,Corsair,128.2405,True,32.0,4.007515625,3200.0,16.0,10.01,7.625133120340789,9.139906846203731
G.SKILL 32GB (2 x 16GB) Ripjaws V Series DDR4 PC4-25600 3200MHz for Intel Z170 Platform Desktop Memory Model F4-3200C16D-32GVK,Amazon,F4-3200C16D-32GVK,G.SKILL,113.99049999999998,False,32.0,3.5622031249999995,3200.0,16.0,10.01,7.625133120340789,9.420372005050341
Corsair Vengeance RGB Pro 16GB (2x8GB) DDR4 3200MHz C16 LED Desktop Memory - White,Amazon,White,Corsair,81.69049999999999,True,16.0,5.105656249999999,3200.0,16.0,10.01,7.625133120340789,8.448279764487994
Corsair Vengeance RGB Pro 64GB (4x16GB) DDR4 3200 (PC4-25600) C16 Desktop Memory - White (CMW64GX4M4C3200C16W),Amazon,(CMW64GX4M4C3200C16W),Corsair,273.5905,True,64.0,4.2748515625,3200.0,16.0,10.01,7.625133120340789,8.971534262509484
Corsair Vengeance RGB Pro 64GB (2x32GB) DDR4 3200 (PC4-25600) C16 Desktop memory–Black (CMW64GX4M2E3200C16),Amazon,(CMW64GX4M2E3200C16),Corsair,246.9905,True,64.0,3.8592265625,3200.0,16.0,10.01,7.625133120340789,9.233301744099652
Corsair Vengeance RGB PRO 32GB (2x16GB) DDR4 3200 (PC4-25600) C16 Desktop Memory - White,Amazon,White,Corsair,135.8405,True,32.0,4.245015625,3200.0,16.0,10.01,7.625133120340789,8.990325428152207
Corsair Vengeance LPX 32GB (2X16GB) DDR4 3200 (PC4-25600) C16 1.35V Desktop Memory - Black,Amazon,Black,Corsair,121.59049999999999,False,32.0,3.7997031249999997,3200.0,16.0,10.01,7.625133120340789,9.270790586998816
Crucial Ballistix RGB 3200 MHz DDR4 DRAM Desktop Gaming Memory Kit 32GB (16GBx2) CL16 BL2K16G32C16U4BL (Black),Amazon,(Black),Crucial,151.9525,True,32.0,4.748515625,3200.0,16.0,10.01,7.625133120340789,8.673212821882974
XPG DDR4 D60G RGB 16GB (2x8GB) 3200MHz PC4-25600 U-DIMM CL16-20-20 Desktop Memory Kit White (AX4U320038G16A-DW60),Amazon,(AX4U320038G16A-DW60),XPG,75.9905,True,16.0,4.74940625,3200.0,16.0,10.01,7.625133120340789,8.67265189156528
Corsair Vengeance RGB Pro 64GB (4x16GB) DDR4 3200 (PC4-25600) C16 Desktop Memory - Black,Amazon,Black,Corsair,273.5905,True,64.0,4.2748515625,3200.0,16.0,10.01,7.625133120340789,8.971534262509484
OLOy DDR4 RAM 16GB (2x8GB) Warhawk Aura Sync RGB 3200 MHz CL16 1.35V 288-Pin Desktop Gaming UDIMM (MD4U0832160BC0DA),Amazon,(MD4U0832160BC0DA),OLOy,58.890499999999996,True,16.0,3.6806562499999997,3200.0,16.0,10.01,7.625133120340789,9.345768272797145
v-Color Prism RGB 16GB (2 x 8GB) DDR4 3200MHz (PC4-25600) CL16 1.35V Desktop Memory Module Ram Upgrade Gaming UDIMM -Grey (TL48G32S8KGRGB16),Amazon,(TL48G32S8KGRGB16),v-Color,68.39049999999999,True,16.0,4.274406249999999,3200.0,16.0,10.01,7.625133120340789,8.971814727668331
Corsair Vengeance LPX 64GB (2x 32GB) DDR4 3200(PC4-25600) C161.35V Desktop Memory -Black,Amazon,-Black,Corsair,232.7405,False,64.0,3.6365703125,3200.0,16.0,10.01,7.625133120340789,9.373534323522957
HyperX Fury 32GB 3200MHz DDR4 Ram CL16 DIMM Black Desktop Memory with low-profile heat spreader,Amazon,spreader,HyperX,126.86299999999999,False,32.0,3.9644687499999995,3200.0,16.0,10.01,7.625133120340789,9.16701847822557
Corsair Dominator Platinum 16GB (2x8GB) DDR4 3200MHz C16 Desktop Memory,Amazon,Memory,Corsair,99.7405,False,16.0,6.23378125,3200.0,16.0,10.01,7.625133120340789,7.73776802874325
"AMD Ryzen 9 3900X 12-core, 24-thread unlocked desktop processor with Wraith Prism LED Cooler & Corsair CMW32GX4M2C3200C16 VENGEANCE RGB PRO 32GB (2x16GB) DDR4 3200 (PC4-25600) C16 Desktop memory Black",Amazon,Black,AMD,555.731,True,32.0,17.36659375,3200.0,16.0,10.01,7.625133120340789,0.7261390575780213
G.SKILL TridentZ RGB Series 32GB (4 x 8GB) 288-Pin DDR4 SDRAM DDR4 3200 (PC4 25600) Desktop Memory Model F4-3200C16Q-32GTZR,Amazon,F4-3200C16Q-32GTZR,G.SKILL,166.2405,True,32.0,5.195015625,3200.0,16.0,10.01,7.625133120340789,8.391999755946106
TEAMGROUP T-Force Delta RGB DDR4 16GB (2x8GB) 3200MHz (PC4-25600) CL16 Desktop Memory Module ram TF3D416G3200HC16CDC01 - Black,Amazon,Black,TEAMGROUP,61.74049999999999,True,16.0,3.8587812499999994,3200.0,16.0,10.01,7.625133120340789,9.2335822092585
OLOy DDR4 RAM 16GB (2x8GB) 3200 MHz CL16 1.35V 288-Pin Desktop Gaming UDIMM (MD4U0832160BJ0DA),Amazon,(MD4U0832160BJ0DA),OLOy,54.140499999999996,False,16.0,3.3837812499999997,3200.0,16.0,10.01,7.625133120340789,9.53274504536155
OLOy DDR4 RAM 16GB (2x8GB) Warhawk Aura Sync RGB 3200 MHz CL16 1.35V 288-Pin Desktop Gaming UDIMM (MD4U0832160BE0DA),Amazon,(MD4U0832160BE0DA),OLOy,60.7905,True,16.0,3.79940625,3200.0,16.0,10.01,7.625133120340789,9.270977563771382
Corsair Vengeance LPX 32GB (2x16GB) 3200MHz C16 DDR4 DRAM Memory Kit – Black,Amazon,Black,Corsair,109.24049999999998,False,32.0,3.4137656249999995,3200.0,16.0,10.01,7.625133120340789,9.513860391332544
Corsair Vengeance RGB PRO 16GB (2x8GB) DDR4 3200MHz C16 LED Desktop Memory - Black,Amazon,Black,Corsair,81.69049999999999,True,16.0,5.105656249999999,3200.0,16.0,10.01,7.625133120340789,8.448279764487994
TEAMGROUP T-Force Delta RGB 32GB (2x16GB) 3200MHz (PC4-25600) CL 16 Desktop Gaming PC Memory Module Ram Upgrade 288-Pin DDR4 SDRAM TF4D432G3200HC16CDC01 - White,Amazon,White,TEAMGROUP,113.99049999999998,True,32.0,3.5622031249999995,3200.0,16.0,10.01,7.625133120340789,9.420372005050341
TEAMGROUP T-Force Vulcan Z DDR4 32GB Kit (2 x 16GB) 3200MHz (PC4 25600) CL16 Desktop Memory Module Ram - Red - TLZRD432G3200HC16CDC01,Amazon,TLZRD432G3200HC16CDC01,TEAMGROUP,97.84049999999999,False,32.0,3.0575156249999997,3200.0,16.0,10.01,7.625133120340789,9.738232518409832
OLOy DDR4 RAM 32GB (2x16GB) 3200 MHz CL16 1.35V 288-Pin Desktop Gaming UDIMM (MD4U1632161DHKDA),Amazon,(MD4U1632161DHKDA),OLOy,96.89049999999999,False,32.0,3.0278281249999996,3200.0,16.0,10.01,7.625133120340789,9.756930195666273
OLOy DDR4 RAM 32GB (2x16GB) Warhawk Aura Sync RGB 3200 MHz CL16 1.35V 288-Pin Desktop Gaming UDIMM (MD4U1632161DE0DA),Amazon,(MD4U1632161DE0DA),OLOy,106.39049999999999,True,32.0,3.3247031249999996,3200.0,16.0,10.01,7.625133120340789,9.569953423101866
HyperX Predator DDR4 RGB 16GB Kit 3200MHz CL16 DIMM XMP RAM Memory / Infrared Sync Technology Black (HX432C16PB3AK2/16),Amazon,(HX432C16PB3AK2/16),HyperX,89.9555,True,16.0,5.62221875,3200.0,16.0,10.01,7.625133120340789,8.122940180225926
Corsair Vengeance RGB Pro 32GB (4x8GB) DDR4 3200MHz C16 LED Desktop Memory - Black,Amazon,Black,Corsair,159.5905,True,32.0,4.987203125,3200.0,16.0,10.01,7.625133120340789,8.52288349674119
TEAMGROUP T-Force Delta RGB DDR4 32GB (2x16GB) 3200MHz (PC4-25600) CL16 Desktop Memory Module Ram TF3D416G3200HC16CDC01 - Black,Amazon,Black,TEAMGROUP,113.99049999999998,True,32.0,3.5622031249999995,3200.0,16.0,10.01,7.625133120340789,9.420372005050341
CORSAIR Vengeance RGB Pro 32GB (2 x 16GB) 288-Pin DDR4 SDRAM DDR4 3200 (PC4 25600) Intel XMP 2.0 Desktop Memory Model CMW32GX4M2C3200C16,Newegg,CMW32GX4M2C3200C16,CORSAIR,134.99,True,32.0,4.2184375,3200.0,16.0,10.01,7.625133120340789,9.007064769738104
CORSAIR Vengeance LPX 32GB (2 x 16GB) 288-Pin DDR4 SDRAM DDR4 3200 (PC4 25600) Intel XMP 2.0 Desktop Memory Model CMK32GX4M2B3200C16,Newegg,CMK32GX4M2B3200C16,CORSAIR,114.99,False,32.0,3.5934375,3200.0,16.0,10.01,7.625133120340789,9.400700080400012
G.SKILL Ripjaws V Series 64GB (2 x 32GB) 288-Pin DDR4 SDRAM DDR4 3200 (PC4 25600) Intel XMP 2.0 Desktop Memory Model F4-3200C16D-64GVK,Newegg,F4-3200C16D-64GVK,G.SKILL,229.99,False,64.0,3.59359375,3200.0,16.0,10.01,7.625133120340789,9.400601671572346
CORSAIR Vengeance RGB Pro 32GB (2 x 16GB) 288-Pin DDR4 SDRAM DDR4 3200 (PC4 25600) Intel XMP 2.0 Desktop Memory Model CMW32GX4M2C3200C16W,Newegg,CMW32GX4M2C3200C16W,CORSAIR,142.99,True,32.0,4.4684375,3200.0,16.0,10.01,7.625133120340789,8.84961064547334
G.SKILL Trident Z Neo (For AMD Ryzen) Series 32GB (2 x 16GB) 288-Pin RGB DDR4 SDRAM DDR4 3200 (PC4 25600) Desktop Memory Model F4-3200C16D-32GTZN,Newegg,F4-3200C16D-32GTZN,G.SKILL,144.99,True,32.0,4.5309375,3200.0,16.0,10.01,7.625133120340789,8.81024711440715
